region,country,policy_level,policy_type,key_policy_measures_and_targets,category,year,source,source_table,key_policy_measures_and_targets_______________________________________________category
India,Unknown,National,Legislation,Production Linked Incentive (PLI) Scheme for Automobile and Auto Component Industry. USD 3.1 billion as financial incentives to promote domestic manufacturing and draw investments into the value chain of the automotive manufacturing industry.,Bus,2021,"Government of Tamil Nadu, India",Table 9,
India,Unknown,Subnational,Announced target,Tamil Nādu: 30% of bus stock to be electric by 2030.,EVSE,2023,"Government of Tamil Nadu, India",Table 9,
India,Unknown,Subnational,Announced target,Tamil Nādu: 750 charging stations to be incentivised under the State EV policy.,EVSE,2023,Government of India,Table 9,
India,Unknown,Subnational,Announced target,West Bengal: 100 000 public and semi-public charging stations by 2026.,2/3W,2021,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Announced target,Maharashtra: 10% electric two-wheeler sales by 2025; 20% electric three- wheeler sales by 2025.,Bus,2021,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Announced target,Maharashtra: 15% electric bus sales (25% in urban areas) by 2025.,LDV,2021,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Announced target,"Maharashtra: 5% electric 4W sales by 2025, 25% for electric fleet operators.",2/3W,2021,"Government of Gujarat, India",Table 9,
India,Unknown,Subnational,Announced target,"Gujarat: 110 000 electric two-wheelers, 70 000 electric three-wheelers stock
by 2025.",LDV,2021,"Government of Gujarat, India",Table 9,
India,Unknown,Subnational,Announced target,Gujarat: 20 000 4W EVs in stock by 2025.,2/3W,2021,"Government of Assam, India",Table 9,
India,Unknown,Subnational,Announced target,"Assam: 100 000 electric two-wheelers, 75 000 electric three-wheelers stock
by 2026.",Bus,2021,"Government of Assam, India",Table 9,
India,Unknown,Subnational,Announced target,Assam: 100% electric buses sales by 2030.,Multiple,2021,"Government of Assam, India",Table 9,
India,Unknown,Subnational,Announced target,Assam: BEVs to make up 25% of all vehicle registrations by 2026.,Multiple,2021,"Government of Assam, India",Table 9,
India,Unknown,Subnational,Announced target,Assam: 100% of government vehicles to be converted to EVs by 2030.,LDV,2021,"Government of Assam, India",Table 9,
India,Unknown,Subnational,Announced target,Assam: 25 000 electric 4Ws in stock by 2026.,Bus,2021,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Announced target,Uttar Pradesh: 1 000 electric buses in stock by 2030.,Bus,2019,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Announced target,Madhya Pradesh: 100% electric bus sales by 2028.,Bus,2019,"NITI Aayog, Government of India",Table 9,
India,Unknown,Subnational,Announced target,Kerala: 100% electric bus sales by 2025.,Bus,2019,"NITI Aayog, Government of India",Table 9,
Asia Pacific,India,Subnational,Announced target,,Unknown,2018,"NITI Aayog, Government of India",Table 10,Andhra Pradesh: 100% electric bus sales by 2029.                                             2/3W
Asia Pacific,India,Subnational,Announced target,,Unknown,2017,"Bureau of Energy Efficiency, India",Table 10,Karnataka: Three-wheeler sales to achieve 100% electric mobility by 2030.    LDV
Asia Pacific,India,National,Announced target,,Unknown,2024,Government of India,Table 10,"India’s Bureau of Energy Efficiency has shared a draft of future corporate average fuel economy (CAFE) III and IV standards for light-duty passenger
vehicles with relevant stakeholders to seek their comments. The proposed     Bus standards cover model years 2027–2032 and 2032–2037, respectively, and
target CO₂ emissions of 91.7 g CO₂/km and 70 g CO₂/km as measured over the WLTC."
Asia Pacific,India,National,Announced target,,Unknown,2022,"NITI Aayog, Government of India",Table 10,"National Electric Bus Programme - Ambitious National Electric Bus Program (NEBP) launched in 2022, aiming to deploy an additional 50 000 electric         LDV buses over 5 years."
Asia Pacific,India,Subnational,Announced target,,Unknown,2017,Government of Indonesia,Table 10,"Karnataka: 4W mini goods vehicles, cab aggregators, corporate fleets, and    Manufacturing, LDV
school buses/vans to achieve 100% electric sales by 2030."
Southeast Asia,Indonesia,National,Objective,,Unknown,2019,Government of Indonesia,Table 10,"Production targets of 10% of 1.5 million cars to be electric in 2020, 20% out
of 2 million units in 2025, 25% out of 3 million in 2030 and 30% out of 4          Manufacturing, 2/3W
million in 2035."
Southeast Asia,Indonesia,National,Objective,,Unknown,2019,Government of Indonesia,Table 10,"Production targets of 10% of 8 million two-wheeler units to be electric in
2020, 20% of 10 million units in 2025, 25% of 12.5 million in 2030 and 30%    EVSE
of 15 million in 2035."
Southeast Asia,Indonesia,National,Objective,,Unknown,2021,Government of Indonesia,Table 10,"Number of charging stations to reach 32 000 units and battery swap stations  LDV, 2/3W
to reach 67 000 units by 2030."
Southeast Asia,Indonesia,National,Objective,,Unknown,2021,Government of Indonesia,Table 10,"2 million passenger EV stock and 13 million electric motorcycle stock by         Taxation, LDV
2030."
Southeast Asia,Indonesia,National,Legislation,,Unknown,2022,Government of Indonesia,Table 10,"Tax incentive scheme to reduce the cost of electric LDVs and buses with        Multiple
shares of domestic components."
Southeast Asia,Indonesia,National,Legislation,,Unknown,2022,Government of Indonesia,Table 10,"Presidential instruction Indonesia requires government offices to procure        2/3W
and use EVs."
Southeast Asia,Indonesia,National,Announced target,,Unknown,2023,Accelerating to Zero Coalition,Table 10,"Indonesia sets aside USD 455 million to subsidise the sale of 1 million            LDV
electric motorcycles."
Europe,Ireland,Multi-national,Objective,,Unknown,2022,Government of Ireland,Table 10,Signatory to COP26 ZEV Declaration to work towards all sales of new cars     LDV and vans being zero emission by no later than 2035 in leading markets.
Europe,Ireland,National,Legislation,,Unknown,2023,Government of Ireland,Table 10,"30% of stock, and 100% of sales passenger LDV sales to be EVs by 2030
(2023 reiteration of 100% sales target and formalisation of 30% stock target,  M/HDV ca. 950 000)."
Europe,Ireland,National,Legislation,,Unknown,2021,Government of Ireland,Table 10,"Grants up to 60% of the price difference between the diesel equivalent and    LDV the BEV, PHEV, or FCEV model available for the purchase of HDVs."
Europe,Ireland,National,Legislation,,Unknown,2022,Government of Ireland,Table 10,"Grants for BEV public service vehicles, including bonuses for the scrappage  LDV, Taxation
of older more polluting vehicles with high mileage."
Europe,Ireland,National,Legislation,,Unknown,2018,Sustainable Energy Authority of Ireland,Table 10,"Reduced toll and motor tax for low emissions vehicles, Value Related Tax
(VRT) relief, exemption from Benefit-in-Kind taxes, and Accelerated Capital    LDV Allowance."
Europe,Ireland,National,Legislation,,Unknown,2022,"CALSTART: Drive
to Zero MOU",Table 10,Grants towards the purchase of passenger and LCV BEVs.                               M/HDV
Europe,Ireland,Multi-national,Announced target,,Unknown,2022,Government of Ireland,Table 10,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission
Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in                M/HDV M/HDVs by 2030, 100% by 2040."
Europe,Ireland,National,Announced target,,Unknown,2023,Government of Ireland,Table 10,"35% ZEV share of HDV registrations by 2030, with an interim target of 700     EVSE
units by 2025."
Europe,Ireland,National,Announced target,,Unknown,2022,Government of Ireland,Table 10,"Various grants and funding schemes in place to support infrastructure development, aiming for at least 11 HDV charging pools to be installed by      Bus 2025."
Ireland,Unknown,National,Announced target,"No new diesel buses from 2019, ambition for all urban buses to be low emission by 2035, with 300 and 1 500 electric buses by 2025 and 2030 respectively.",LDV,2019,Accelerating to Zero Coalition,Table 11,
Israel,Unknown,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,M/HDV,2022,"CALSTART: Drive
to Zero MOU",Table 11,
Israel,Unknown,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",LDV,2023,Government of Israel,Table 11,
Israel,Unknown,National,Objective,"5% share of private vehicles sold in 2022 to be EVs, 23% by 2025 and 61%
by 2028, with 100% to be EVs by 2030.",LDV,2018,Government of Israel,Table 11,
Israel,Unknown,National,Objective,"Ban on all non-EV or non-CNG vehicles after 2030, leading to 1.4 million EV sales by 2030.","LDV, M/HDV",2018,Zero Emissions Government Fleet Declaration,Table 11,
Israel,Unknown,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil  government owned and operated fleet, with aspirations for 100% zero- emission M/HDV acquisitions, by no later than 2035. Israel also specifically aims for all new government passenger vehicles from 2022 to be hybrid, and all electric from 2025.",Bus,2022,Government of Israel,Table 11,
Israel,Unknown,National,Legislation,"By 2025, all new municipal buses will be electric, with grants in place to help achieve this.",Taxation,2020,Government of Israel,Table 11,
Israel,Unknown,National,Proposal,"EV purchase tax rates (currently 10% but to increase to 20%) are lower than ICE purchases taxes (83%); for plug-in hybrid vehicles (PHEVs), purchase taxes are set to increase from 40% to 55%.",LDV,2024,Government of Israel,Table 11,
Israel,Unknown,National,Announced target,"National Action Plan on Climate Change: Target to reduce average emissions from new LDVs by 95% by 2030 relative to 2020, and by 100% in 2050.",Bus,2021,Government of Israel,Table 11,
Israel,Unknown,National,Announced target,National Action Plan on Climate Change: Increase stock share of zero- emission urban buses to 50% by 2036 and 100% by 2050.,LDV,2021,Government of Italy,Table 11,
Italy,Unknown,National,Objective,6 million passenger electric LDV stock (including 4 million BEVs by 2030).,2/3W,2019,Government of Italy,Table 11,
Italy,Unknown,National,Legislation,30% of the purchase price (up to EUR 3 000) for BEV and PHEV two/three- wheelers. Up to 40% (EUR 4 000) if a Euro 0-3 bike is scrapped.,M/HDV,2022,Government of Italy,Table 11,
Italy,Unknown,National,Legislation,85% share of EVs and hybrids in all public HDV purchases by 2030; 30% by 2022 and 50% by 2025 (includes methane and hydrogen in some cases).,LDV,2019,Government of Italy,Table 11,
Italy,Unknown,National,Legislation,85% share of EVs and hybrids in all public LDV by 2030; 30% by 2022 and 50% by 2025 (includes methane and hydrogen in some cases).,M/HDV,2019,Government of Italy,Table 11,
Italy,Unknown,National,Legislation,Grants available towards the purchase of EV trucks.,LDV,2022,Government of Italy,Table 11,
Italy,Unknown,National,Legislation,Grants towards the purchase of electric LCVs.,LDV,2022,Government of Italy,Table 11,
Italy,Unknown,National,Legislation,Phase out new ICE cars by 2035 and LCVs by 2040.,LDV,2022,Government of Italy,Table 11,
Italy,Unknown,National,Legislation,"Grants towards the purchase of a new BEV, lower amount for PHEVs, with an additional scrappage bonus available.","EVSE, Taxation",2022,Government of Italy,Table 11,
Italy,Unknown,National,Legislation,Subsidy in the form of tax relief for installing home chargers.,LDV,2019,Automobile Club d'Italia,Table 11,
Japan,Unknown,National,Objective,"100% of car sales to be BEV, PHEV, HEV, or FCEV by 2035, 20-30% of LCV sales by 2030, and electrified vehicles and decarbonised fuel vehicles to account for 100% of sales by 2040 (Green Growth Strategy).",EVSE,2021,Government of Japan,Table 11,
Japan,Unknown,National,Objective,300 000 charging ports including 30 000 public fast chargers (and 1 000 hydrogen stations) by 2030.,M/HDV,2023,Government of Japan,Table 11,
Japan,Unknown,National,Objective,Aiming for an advanced introduction of 5 000 electrified M/HDVs in the 2020s.,2/3W,2021,Tokyo Metropolitan Environmental Public Corporation,Table 11,
Japan,Unknown,Subnational,Legislation,Tokyo: Subsidies for selected 2/3Ws to reach goal of 100% of new 2/3Ws being petrol-free by 2035.,LDV,2022,Government of Japan,Table 11,
Japan,Unknown,National,Legislation,"Fuel economy standard: 25.4 km/L for passenger LDVs by 2030, equivalent to a 32.4% improvement compared to 2016 and includes EVs. Well-to-wheel approach adopted that includes grid electricity energy consumption for EVs.",M/HDV,2019,Government of Japan,Table 11,
Japan,Unknown,National,Legislation,Fuel economy standard: 6.52 or 7.63 km/L (JH25) by 2025 (depending on vehicle class and weight) for heavy commercial vehicles. Target to reduce fuel consumption by 13.4-14.3% compared to 2015 standard.,M/HDV,2019,Government of Japan,Table 11,
Japan,Unknown,National,Legislation,"Purchase subsidies for buses, vans and trucks for commercial use.",LDV,2024,Government of Japan,Table 11,
Japan,Unknown,National,Legislation,Purchase subsidies for passenger cars.,LDV,2024,Government of Japan,Table 11,
Japan,Unknown,National,Announced target,Aims to account for 30% of the 35-41 million global software-defined vehicle (SDV) sales in 2030 - about 11-12 million units. The Japanese government also targets a stock of 17-19 million SDVs by 2035 (and 30% of global SDV sales).,LDV,2024,Government of Japan,Table 11,
Kazakhstan,Unknown,National,Proposal,Roadmap for EV Infrastructure: Aim to create the infrastructure necessary for electric cars in all big cities throughout the country by 2029.,Manufacturing,2023,Government of Kazakhstan,Table 11,
Kazakhstan,Unknown,National,Proposal,"Support the local manufacturing of EVs, including tax incentives and subsidies for EV producers.",LDV,2024,Accelerating to Zero Coalition,Table 11,
Kenya,Unknown,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,Multiple,2022,Government of Kenya,Table 11,
Kenya,Unknown,National,Objective,5% share of electric/hybrid vehicles in total vehicles imported by 2025.,EVSE,2020,Government of Korea,Table 11,
Korea,Unknown,National,Legislation,Funding available to incentivise EVSE.,Bus,2022,Government of Korea,Table 11,
Korea,Unknown,National,Legislation,Grants towards the purchase of electric buses.,LDV,2023,Government of Korea,Table 11,
Korea,Unknown,National,Legislation,"Grants available towards the purchase of private and commercial LDVs, which can be combined with additional local incentives.",M/HDV,2023,Government of Korea,Table 11,
Korea,Unknown,Subnational,Announced target,Seoul: Subsidise electric motorcycles with the aim of reaching 100 000 by 2025.,Multiple,2019,Government of Korea,Table 11,
Korea,Unknown,National,Announced target,8.3 million electric and 2.9 million FCEV vehicle stock by 2040.,Manufacturing,2019,Government of Korea,Table 11,
Korea,Unknown,National,Announced target,"A 2022 manufacturers sales mandate, as a share of annual sales, of 20% for low emission vehicles, and 12% for ZEVs.",LDV,2021,Government of Korea,Table 11,
Korea,Unknown,National,Announced target,"3.62 million passenger BEV and 880 000 passenger FCEV stock by 2030 (and 4 million PHEV+HEV), building upon previous target of 1.13 million passenger BEV stock by 2025 (plus 200 000 passenger FCEV).",LDV,2021,Government of Korea,Table 11,
Korea,Unknown,National,Announced target,"50% of new sales to be BEV, HEV, PHEV, FCEVs by 2025, and 83% by 2030. 80% of Government operated vehicles to be eco-friendly in 2021, reaching 100% in 2023.",EVSE,2021,Government of Korea,Table 11,
Asia Pacific,Korea,National,Announced target,,Unknown,2021,Government of Kyrgyzstan,Table 12,"Install 500 000 electric chargers by 2025 in homes and workplaces, and 17    Manufacturing
000 along highways. Install 450 hydrogen chargers by 2025"
Eurasia,Kyrgyzstan,National,Legislation,,Unknown,2022,Government of Kyrgyzstan,Table 12,VAT exemptions for EVs produced in Kyrgyzstan.                                               Taxation
Eurasia,Kyrgyzstan,National,Legislation,,Unknown,2019,Government of Laos,Table 12,EVs are exempt from import duties and annual registration tax.                         Multiple
Southeast Asia,Laos,National,Announced target,,Unknown,2021,Government of Latvia,Table 12,"EVs to make up 30% of vehicle stock by 2030.                                                    LDV, Taxation"
Europe,Latvia,National,Legislation,,Unknown,2020,Accelerating to Zero Coalition,Table 12,"Registration tax exemption for private BEVs, up to one registration per
person. Private car annual circulation tax exemption for vehicles with less       LDV than 50gCO₂/km, lowest rate (EUR 10/month) for company cars."
Middle East,Lebanon,National,Legislation,,Unknown,2022,"CALSTART: Drive
to Zero MOU",Table 12,"100% exemption on customs duties and internal consumption tax for EVs;
50% reduction in registration fees and mechanical inspection fees for EVs;     M/HDV 80% customs duty exemption for hybrid vehicles; expanded coverage to
include e-bicycles and e-scooters."
Europe,Liechtenstein,Multi-national,Objective,,Unknown,2022,"CALSTART: Drive
to Zero MOU",Table 12,Signatory to COP26 ZEV Declaration to work towards all sales of new cars     M/HDV and vans being zero emission by no later than 2035 in leading markets.
Europe,Liechtenstein,Multi-national,Objective,,Unknown,2022,"CALSTART: Drive
to Zero MOU",Table 12,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission
Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in                M/HDV M/HDVs by 2030, 100% by 2040."
Europe,Lithuania,Multi-national,Objective,,Unknown,2022,Accelerating to Zero Coalition,Table 12,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in                LDV M/HDVs by 2030, 100% by 2040."
Europe,Lithuania,Multi-national,Objective,,Unknown,2022,Government of Lithuania,Table 12,Signatory to COP26 ZEV Declaration to work towards all sales of new cars     LDV and vans being zero emission by no later than 2035 in leading markets.
Europe,Lithuania,National,Legislation,,Unknown,2021,Government of Lithuania,Table 12,"Grants towards the purchase of a new private and company BEV, lower
amounts for used BEV, as well as higher rates available for PHEVs, with        LDV, Taxation scrappage bonuses available; Grants are extended to charging investments"
Europe,Lithuania,National,Legislation,,Unknown,2021,"CALSTART: Drive
to Zero MOU",Table 12,Registration tax and VAT exemption for BEVs                                                     M/HDV
Europe,Luxembourg,Multi-national,Objective,,Unknown,2021,Accelerating to Zero Coalition,Table 12,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in                LDV M/HDVs by 2030, 100% by 2040."
Europe,Luxembourg,Multi-national,Objective,,Unknown,2022,Government of Luxembourg,Table 12,"Signatory to COP26 ZEV Declaration to work towards all sales of new cars     LDV, Taxation and vans being zero emission by no later than 2035 in leading markets."
Europe,Luxembourg,National,Legislation,,Unknown,2019,Government of Luxembourg,Table 12,"Up to EUR 2 000 towards the installation of an eligible charger (EUR 1 200    LDV
for a family home, EUR 1 650 for multi-residence complex)."
Europe,Luxembourg,National,Legislation,,Unknown,2021,Government of Malaysia,Table 12,"Grants towards the purchase of a new private BEV; amount of subsidies         Manufacturing
vary with battery size"
Southeast Asia,Malaysia,National,Objective,,Unknown,2020,Government of Malaysia,Table 12,"National Automotive Plan 2020 aiming to increase Malaysia's role in                Taxation, Multiple
producing electrified vehicles."
Southeast Asia,Malaysia,National,Legislation,,Unknown,2024,Government of Malaysia,Table 12,"Exemptions of road, import and excise taxes for electric vehicles.                     Taxation, EVSE"
Southeast Asia,Malaysia,National,Legislation,,Unknown,2024,Government of Malaysia,Table 12,"Income tax rebates for EVSE manufacturers.                                                       Manufacturing, Taxation"
Southeast Asia,Malaysia,National,Legislation,,Unknown,2023,Government of Malaysia,Table 12,"Tax relief for companies investing in EVSE manufacturing, as well as import
duty and sales tax exemptions for locally assembled EVs to the end of 2027,  LDV and imported EVs to the end of 2025."
Southeast Asia,Malaysia,National,Announced target,,Unknown,2023,Government of Malaysia,Table 12,80% share of electric vehicles in car fleet by 2050.                                             2/3W
Southeast Asia,Malaysia,National,Announced target,80% share of electric vehicles in two-wheeler fleet by 2050.,Manufacturing,2023,Government of Malaysia,Table 13,
Southeast Asia,Malaysia,National,Announced target,Foster robust local EV manufacturing capabilities to achieve 90% local EV manufacturing  by 2050.,LDV,2023,Government of Malaysia,Table 13,
Southeast Asia,Malaysia,National,Announced target,"100% (electrified, CNG, LPG or biofuel-fuelled vehicle) stock for all private transport by 2030.",Multiple,2017,Government of Malaysia,Table 13,
Southeast Asia,Malaysia,National,Announced target,"Low Carbon Mobility Blueprint includes plans to establish a progressively reducing emissions target for new LDVs, exhaust emissions regulations, and other measures to improve vehicle efficiency.",Multiple,2021,Government of Malaysia,Table 13,
Southeast Asia,Malaysia,National,Announced target,"Low Carbon Mobility Blueprint includes measures to increase EV adoption, including targets for government and government-led company fleets, incentives for private and commercial EVs, establishment of an e-bus procurement agency, and various manufacturing incentives.",LDV,2021,Accelerating to Zero Coalition,Table 13,
Europe,Malta,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,LDV,2022,Government of Malta,Table 13,
Europe,Malta,National,Legislation,"Grants towards the purchase of private and commercial BEVs, with an additional bonus for scrapping an old vehicle","LDV, Taxation",2023,Governmental,Table 13,
Europe,Malta,National,Legislation,Registration and annual circulation tax reduction for low emitting vehicles (<=100 g CO₂ /km),Multiple,2018,Government of Mexico City,Table 13,
North America,Mexico,Subnational,Objective,"Mexico City: Mobility sector emission reduction plan of Mexico city: 30% emission reduction from mobile sources; time-bound partial traffic restrictions, carpooling schemes, LEZ in central city;  10 000 e-bikes and 16 mass bike parking facilities by 2024; 100% electric moto taxis in 2024, incentive scheme; 10% of private cars are EVs or HEVs in 2024.",Manufacturing,2020,Government of Mexico,Table 13,
North America,Mexico,National,Objective,50% of vehicles produced to be ZEV by 2030.,LDV,2022,Accelerating to Zero Coalition,Table 13,
North America,Mexico,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,Manufacturing,2022,Government of Mexico,Table 13,
North America,Mexico,National,Legislation,"Recognition of lithium as strategic mineral, nationalisation of its value chain. Creation by decree of ""Lithium for Mexico"" (Litio para Mexico), a decentralised public body.",Taxation,2022,Government of Mexico,Table 13,
North America,Mexico,National,Legislation,"Mexico sets a tax varying largely on the price of the vehicle and an annual vehicle tax, EV owners are exempt from both.",LDV,2019,Government of Mexico,Table 13,
North America,Mexico,National,Proposal,"Deployment of 7M electric LDVs by 2030, 22M by 2040, and 31M by 2050.","M/HDV, Bus",2023,Government of Mexico,Table 13,
North America,Mexico,National,Proposal,"Deployment of 338,000 electric HDVs by 2030, 894,000 by 2040, and
987,000 by 2050.","LDV, Bus",2023,Government of Mexico,Table 13,
North America,Mexico,National,Proposal,"50% of passenger vehicle sales to be HEVs, PHEVs, and BEVs by 2030, 100% to be PHEVs and BEVs by 2040, and 100% BEVs by 2050",LDV,2023,Accelerating to Zero Coalition,Table 13,
Africa,Morocco,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,Taxation,2022,Government of Morocco,Table 13,
Africa,Morocco,National,Legislation,"Reduced duties, green loans and subsidies, as well as exemptions for EVs from luxury and road taxes.",LDV,2022,Government of Morocco,Table 13,
Africa,Morocco,National,Announced target,Target of 258 000 electric cars in 2030.,2/3W,2022,Government of Morocco,Table 13,
Africa,Morocco,National,Announced target,Target of 250 000 electric 2/3Ws in 2030.,Bus,2022,Government of Morocco,Table 13,
Africa,Morocco,National,Announced target,Target of 2 000 electric buses in 2030.,EVSE,2022,Government of Morocco,Table 13,
Africa,Morocco,National,Announced target,"Target of almost 30 000 charging points for LDVs, 2/3Ws, and buses by 2030.",M/HDV,2022,"CALSTART: Drive
to Zero MOU",Table 13,
Africa,Mozambique,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.",Bus,2024,Government of Nepal,Table 13,
Nepal,Unknown,National,Objective,"20% 4W (i.e. bus and taxi) public passenger vehicle sales, 60% by 2030.",LDV,2021,Government of Nepal,Table 14,
Nepal,Unknown,National,Objective,"25% share of EVs in private passenger vehicle sales (including two- wheelers) by 2025, and 90% by 2030.",M/HDV,2021,"CALSTART: Drive
to Zero MOU",Table 14,
Netherlands,Unknown,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030, 100% by 2040.","LDV, M/HDV",2021,Zero Emissions Government Fleet Declaration,Table 14,
Netherlands,Unknown,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero- emission M/HDV acquisitions, by no later than 2035.",LDV,2022,Government of the Netherlands,Table 14,
Netherlands,Unknown,National,Objective,100% ZEV share of car sales by 2030.,LDV,2021,Government of the Netherlands,Table 14,
Netherlands,Unknown,National,Objective,"15 000 FCEV passenger car stock by 2025, 300 000 by 2030; 100% ZEV share of taxi sales by 2025 in large cities, extended to the whole country by 2030.",M/HDV,2019,Government of the Netherlands,Table 14,
Netherlands,Unknown,National,Objective,3 000 heavy-duty FCEV by 2025.,LDV,2019,Accelerating to Zero Coalition,Table 14,
Netherlands,Unknown,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,Multiple,2022,City of Amsterdam,Table 14,
Netherlands,Unknown,Subnational,Objective,Noord-Holland: Plans for a transition to emission-free mobility for all traffic by 2030.,Taxation,2019,Government of the Netherlands,Table 14,
Netherlands,Unknown,National,Announced target,100% of public urban bus sales to be ZEV by 2025 and 100% ZEV stock by 2030.,Multiple,2019,Government of the Netherlands,Table 14,
Netherlands,Unknown,National,Announced target,Zero-emission transport zones to be introduced in 15 cities by 2025.,M/HDV,2021,"CALSTART: Drive
to Zero MOU",Table 14,
New Zealand,Unknown,Multi-national,Objective,"Signatory of the Memorandum of Understanding (MOU) on Zero-Emission Medium- and Heavy-Duty Vehicles, which targets 30% ZEV sales in M/HDVs by 2030 and 100% by 2040.","LDV, M/HDV",2021,Zero Emissions Government Fleet Declaration,Table 14,
New Zealand,Unknown,Multi-national,Objective,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero- emission M/HDV acquisitions, by no later than 2035.",LDV,2022,Accelerating to Zero Coalition,Table 14,
New Zealand,Unknown,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission by no later than 2035 in leading markets.,M/HDV,2022,Government of New Zealand,Table 14,
New Zealand,Unknown,National,Legislation,"Low Emissions Heavy Vehicle Fund (LEHVF) of USD 27.75 million towards offsetting the purchase price of low- and zero-emissions heavy vehicles.
The LEHVF will contribute up to 25% of the cost of new zero- and low- emissions heavy vehicles, and up to 25% of the cost to convert existing higher-emitting heavy vehicles to be powered by low-emissions technology.","Taxation, M/HDV",2024,Government of New Zealand,Table 14,
New Zealand,Unknown,National,Legislation,"The Clean Car Discount scheme applied rebates for ZEV and low-emission vehicles, with reduced rates for used vehicles, and fees for higher emitting vehicles.  The scheme ended on 31 December 2023.",LDV,2022,Government of New Zealand,Table 14,
New Zealand,Unknown,National,Legislation,The Clean Vehicle Standard sets ambitious targets (and imposes financial penalties for non-compliance) for vehicle distributors to reduce average emissions to 65 grammes of CO₂/km for passenger cars and 131 grammes for LCVs for vehicles entering New Zealand by 2029. Revenues generated are used to provide rebates on BEVs and PHEVs.,EVSE,2022,Government of New Zealand,Table 14,
New Zealand,Unknown,National,Announced target,Nationwide coverage of fast/rapid direct current charging stations every 75 km across state highways.,EVSE,2017,Government of New Zealand,Table 14,
Asia Pacific,New Zealand,National,Announced target,Aiming for a network of 10 000 public charging points by 2030.,Bus,2024,Government of New Zealand,Table 15,
Asia Pacific,New Zealand,National,Announced target,100% of sales of urban buses to be ZEVs by 2025 and 100% of stock by 2035.,LDV,2021,Government of New Zealand,Table 15,
Asia Pacific,New Zealand,National,Announced target,Increase ZEVs to 30% of the light fleet by 2035.,M/HDV,2022,Government of New Zealand,Table 15,
Asia Pacific,New Zealand,National,Announced target,Reduce emissions from freight transport by 35% by 2035.,EVSE,2022,Government of New Zealand,Table 15,
Asia Pacific,New Zealand,National,Announced target,Comprehensive EV charging strategy including a target for a charging hub every 150-200km on main highways by 2028.,"Taxation, Multiple",2023,Government of Nicaragua,Table 15,
Central and South America,Nicaragua,National,Legislation,"EVs are exempt from import customs duty, selective consumption tax, and value added tax.",LDV,2022,Accelerating to Zero Coalition,Table 15,
Africa,Nigeria,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,LDV,2022,Government of Nigeria,Table 15,
Africa,Nigeria,National,Objective,"100% transition to EV by 2060 with interim targets of 1% EV and 2% HEV by 2030, and 60% EV and 20% HEV by 2050.",Manufacturing,2020,Government of Nigeria,Table 15,
Africa,Nigeria,National,Legislation,"Nigerian Automotive Industry Development Plan (NADIP) aims to boost local production of vehicles (40% local content target) and promote EVs (30% locally produced vehicles to be electric) by 2032, with incentives including reduced import duties and tax incentives for manufacturers.","LDV, Taxation",2023,Government of Nigeria,Table 15,
